contest_code,task_code,task_name,task_link
ABC452,A,Gothec,/contests/abc452/tasks/abc452_a
ABC452,B,Draw Frame,/contests/abc452/tasks/abc452_b
ABC452,C,Fishbones,/contests/abc452/tasks/abc452_c
ABC452,D,No-Subsequence Substring,/contests/abc452/tasks/abc452_d
ABC452,E,You WILL Like Sigma Problem,/contests/abc452/tasks/abc452_e
ABC452,F,Interval Inversion Count,/contests/abc452/tasks/abc452_f
ABC452,G,221 Substring,/contests/abc452/tasks/abc452_g
ABC450,A,"3,2,1,GO",/contests/abc450/tasks/abc450_a
ABC450,B,Split Ticketing,/contests/abc450/tasks/abc450_b
ABC450,C,Puddles,/contests/abc450/tasks/abc450_c
ABC450,D,Minimize Range,/contests/abc450/tasks/abc450_d
ABC450,E,Fibonacci String,/contests/abc450/tasks/abc450_e
ABC450,F,Strongly Connected 2,/contests/abc450/tasks/abc450_f
ABC450,G,Random Subtraction,/contests/abc450/tasks/abc450_g
ABC451,A,illegal,/contests/abc451/tasks/abc451_a
ABC451,B,Personnel Change,/contests/abc451/tasks/abc451_b
ABC451,C,Understory,/contests/abc451/tasks/abc451_c
ABC451,D,Concat Power of 2,/contests/abc451/tasks/abc451_d
ABC451,E,Tree Distance,/contests/abc451/tasks/abc451_e
ABC451,F,Make Bipartite 3,/contests/abc451/tasks/abc451_f
ABC451,G,Minimum XOR Walk,/contests/abc451/tasks/abc451_g
