contest_code,task_code,task_name,task_link
ABC452,A,Gothec,/contests/ABC452/tasks/abc452_a
ABC452,B,Draw Frame,/contests/ABC452/tasks/abc452_b
ABC452,C,Fishbones,/contests/ABC452/tasks/abc452_c
ABC452,D,No-Subsequence Substring,/contests/ABC452/tasks/abc452_d
ABC452,E,You WILL Like Sigma Problem,/contests/ABC452/tasks/abc452_e
ABC452,F,Interval Inversion Count,/contests/ABC452/tasks/abc452_f
ABC452,G,221 Substring,/contests/ABC452/tasks/abc452_g
ABC450,A,"3,2,1,GO",/contests/ABC450/tasks/abc450_a
ABC450,B,Split Ticketing,/contests/ABC450/tasks/abc450_b
ABC450,C,Puddles,/contests/ABC450/tasks/abc450_c
ABC450,D,Minimize Range,/contests/ABC450/tasks/abc450_d
ABC450,E,Fibonacci String,/contests/ABC450/tasks/abc450_e
ABC450,F,Strongly Connected 2,/contests/ABC450/tasks/abc450_f
ABC450,G,Random Subtraction,/contests/ABC450/tasks/abc450_g
ABC451,A,illegal,/contests/ABC451/tasks/abc451_a
ABC451,B,Personnel Change,/contests/ABC451/tasks/abc451_b
ABC451,C,Understory,/contests/ABC451/tasks/abc451_c
ABC451,D,Concat Power of 2,/contests/ABC451/tasks/abc451_d
ABC451,E,Tree Distance,/contests/ABC451/tasks/abc451_e
ABC451,F,Make Bipartite 3,/contests/ABC451/tasks/abc451_f
ABC451,G,Minimum XOR Walk,/contests/ABC451/tasks/abc451_g
CFC2218,A,The 67th Integer Problem,/contest/2218/problem/A
CFC2218,B,The 67th 6-7 Integer Problem,/contest/2218/problem/B
CFC2218,C,The 67th Permutation Problem,/contest/2218/problem/C
CFC2218,D,The 67th OEIS Problem,/contest/2218/problem/D
CFC2218,E,The 67th XOR Problem,/contest/2218/problem/E
CFC2218,F,The 67th Tree Problem,/contest/2218/problem/F
CFC2218,G,"The 67th Iteration of ""Counting is Fun""",/contest/2218/problem/G
